author,author_type,title,filename,relative_path,encoding_used,char_count,char_no_space_count,word_count,sentence_count,avg_sentence_length_words,sentence_length_std,sentence_length_median,short_sentence_ratio_1_3,sentence_ratio_4_7,sentence_ratio_8_15,long_sentence_ratio_16_plus,hangul_ratio,hanja_count,hanja_ratio,circle_count,circle_ratio,broken_char_ratio,quote_count,comma_count,question_count,exclamation_count,ellipsis_count,dialogue_sentence_ratio,comma_per_sentence,question_per_sentence,exclamation_per_sentence,ellipsis_per_sentence,lexical_diversity,first_person_expr_ratio,negation_expr_ratio,conceptual_expr_ratio,experimental_expr_ratio,nature_word_ratio,sensory_word_ratio,emotion_word_ratio,color_word_ratio,body_word_ratio,social_reality_word_ratio,rural_life_word_ratio,quality_flags
이효석,서정감각형,개살구,개살구.txt,final_corpus/이효석/개살구.txt,utf-8,20521,15001,4979,347,14.348703170028818,8.168401710412512,13.0,0.04610951008645533,0.14121037463976946,0.4322766570605187,0.3804034582132565,0.972335177654823,0,0.0,0,0.0,0.0,54,11,0,2,0,0.13256484149855907,0.03170028818443804,0.0,0.005763688760806916,0.0,0.6529423579031934,0.056838722635067285,0.018678449487848966,0.011046394858405303,0.004820245029122314,0.07652138983731673,0.010243020686884917,0.011046394858405303,0.005221932114882507,0.030528218517774652,0.0016067483430407712,0.02169110263105041,ok
이효석,서정감각형,도시와_유령,도시와_유령.txt,final_corpus/이효석/도시와_유령.txt,utf-8,12012,9043,2980,349,8.538681948424069,6.641608832974674,7.0,0.19197707736389685,0.3553008595988539,0.33810888252148996,0.11461318051575932,0.9302222713701206,0,0.0,0,0.0,0.0,154,30,19,28,42,0.2693409742120344,0.08595988538681948,0.054441260744985676,0.08022922636103152,0.12034383954154727,0.6406040268456376,0.07348993288590604,0.03053691275167785,0.015100671140939598,0.003355704697986577,0.06308724832214765,0.012751677852348993,0.0026845637583892616,0.0026845637583892616,0.029865771812080538,0.0020134228187919465,0.01040268456375839,ok
이효석,서정감각형,모밀꽃_필_무렵,모밀꽃_필_무렵.txt,final_corpus/이효석/모밀꽃_필_무렵.txt,utf-8,8299,6228,1993,245,8.13469387755102,5.655611301354022,7.0,0.15918367346938775,0.40408163265306124,0.3510204081632653,0.08571428571428572,0.9311175337186898,0,0.0,0,0.0,0.0,107,44,17,3,18,0.30612244897959184,0.17959183673469387,0.06938775510204082,0.012244897959183673,0.07346938775510205,0.8008028098344204,0.07124937280481686,0.021073758153537382,0.010536879076768691,0.0010035122930255895,0.07777220270948319,0.013547415955845458,0.005017561465127948,0.002508780732563974,0.050677370797792276,0.0015052684395383843,0.01655795283492223,short_text
이효석,서정감각형,산협,산협.txt,final_corpus/이효석/산협.txt,utf-8,27243,20403,6863,522,13.147509578544062,8.843210890579973,11.0,0.09961685823754789,0.21839080459770116,0.36398467432950193,0.31800766283524906,0.9621624270940548,0,0.0,0,0.0,0.0,139,48,6,0,38,0.2547892720306513,0.09195402298850575,0.011494252873563218,0.0,0.07279693486590039,0.6339793093399388,0.05289232114235757,0.02389625528194667,0.012968089756666181,0.0018942153577152848,0.07445723444557774,0.006556899315168294,0.007722570304531546,0.0029141774734081304,0.031618825586478216,0.0002914177473408131,0.03861285152265773,ok
이효석,서정감각형,하얼빈,하얼빈.txt,final_corpus/이효석/하얼빈.txt,utf-8,10080,7492,2544,238,10.6890756302521,7.8566440321591235,9.0,0.10504201680672269,0.2773109243697479,0.4411764705882353,0.17647058823529413,0.9447410571276028,0,0.0,0,0.0,0.0,120,10,1,0,8,0.3487394957983193,0.04201680672268908,0.004201680672268907,0.0,0.03361344537815126,0.717374213836478,0.054638364779874216,0.02279874213836478,0.020440251572327043,0.004323899371069182,0.054638364779874216,0.014544025157232705,0.006289308176100629,0.004323899371069182,0.04363207547169811,0.0031446540880503146,0.009433962264150943,ok
현진건,현실묘사형,B사감과_러브레터,B사감과_러브레터.txt,final_corpus/현진건/B사감과_러브레터.txt,utf-8,5491,4068,1426,122,11.688524590163935,9.840600047688945,8.0,0.16393442622950818,0.29508196721311475,0.2786885245901639,0.26229508196721313,0.9299410029498525,0,0.0,0,0.0,0.0,70,50,20,9,10,0.36885245901639346,0.4098360655737705,0.16393442622950818,0.07377049180327869,0.08196721311475409,0.7650771388499299,0.05539971949509116,0.030154277699859747,0.011921458625525946,0.002805049088359046,0.04838709677419355,0.01753155680224404,0.0091164095371669,0.0035063113604488078,0.04067321178120617,0.0,0.021739130434782608,short_text
현진건,현실묘사형,고향,고향.txt,final_corpus/현진건/고향.txt,utf-8,5434,4035,1402,139,10.086330935251798,8.310071911304822,8.0,0.1510791366906475,0.3237410071942446,0.33093525179856115,0.19424460431654678,0.9273853779429988,0,0.0,0,0.0,0.0,94,28,23,3,2,0.38848920863309355,0.2014388489208633,0.16546762589928057,0.02158273381294964,0.014388489208633094,0.7681883024251069,0.05706134094151213,0.023537803138373753,0.009985734664764621,0.0028530670470756064,0.04778887303851641,0.006419400855920114,0.009985734664764621,0.0021398002853067048,0.03495007132667618,0.007132667617689016,0.014265335235378032,short_text
현진건,현실묘사형,빈처,빈처.txt,final_corpus/현진건/빈처.txt,utf-8,13570,10063,3493,360,9.702777777777778,6.642706364088824,8.0,0.1388888888888889,0.2861111111111111,0.425,0.15,0.9288482559872802,0,0.0,0,0.0,0.0,220,65,13,48,50,0.36944444444444446,0.18055555555555555,0.03611111111111111,0.13333333333333333,0.1388888888888889,0.6160893215001432,0.08789006584597767,0.020326367019753794,0.018322359003721728,0.002004008016032064,0.047237331806470086,0.0143143429716576,0.012024048096192385,0.002004008016032064,0.03864872602347552,0.00429430289149728,0.011451474377326082,ok
현진건,현실묘사형,운수_좋은_날,운수_좋은_날.txt,final_corpus/현진건/운수_좋은_날.txt,utf-8,10242,7571,2662,269,9.895910780669144,7.166912174600298,8.0,0.11895910780669144,0.379182156133829,0.31970260223048325,0.1821561338289963,0.9295997886672831,0,0.0,0,0.0,0.0,134,102,4,19,18,0.3308550185873606,0.379182156133829,0.01486988847583643,0.07063197026022305,0.06691449814126393,0.6769346356123216,0.04244928625093914,0.021788129226145755,0.009391435011269721,0.003005259203606311,0.04770848985725019,0.010894064613072877,0.006386175807663411,0.0011269722013523666,0.04620586025544703,0.008640120210368144,0.013523666416228399,ok
현진건,현실묘사형,할머니의_죽음,할머니의_죽음.txt,final_corpus/현진건/할머니의_죽음.txt,utf-8,9772,7308,2455,321,7.64797507788162,6.065381359805609,6.0,0.2616822429906542,0.3644859813084112,0.2772585669781931,0.09657320872274143,0.9168035030103996,0,0.0,12,0.0016420361247947454,0.0,130,85,39,21,50,0.3115264797507788,0.26479750778816197,0.12149532710280374,0.06542056074766354,0.1557632398753894,0.6712830957230143,0.0725050916496945,0.024439918533604887,0.010997963340122199,0.000814663951120163,0.05539714867617108,0.005295315682281059,0.004480651731160896,0.002036659877800407,0.04073319755600815,0.0,0.006109979633401222,ok
